;hour;nanmean_demand_bikes;nanmedian_demand_bikes;nanstd_demand_bikes;count_demand_bikes;nanmean_demand_locks;nanmedian_demand_locks;nanstd_demand_locks;count_demand_locks;station_id;capacity;probability_pst;fill_deg_pst;opt_no_bikes;valid_date
451;15;6.842898328324009;6.145936498689194;3.3492365633230823;28;3.225806451612903;3.0;1.9783777431581804;31;298;19;4.024;63.158;12;2019-08-01 08:17:34.639365
452;16;7.459412178213639;6.0;5.520963927559671;29;2.7333333333333334;3.0;2.0667037445691365;30;298;19;10.242;68.421;13;2019-08-01 08:17:34.639365
453;17;5.4130187378284464;4.717983567767359;3.209994187844012;28;2.6875;2.0;2.5200806438709265;32;298;19;2.517;57.895;11;2019-08-01 08:17:34.639365
454;18;6.083606822076237;4.179298382983082;5.359363154900137;28;1.9333333333333333;2.0;1.4605934866804429;30;298;19;3.344;73.684;14;2019-08-01 08:17:34.639365
455;19;3.7460317556435774;3.0;3.5482496080350696;27;1.6666666666666667;2.0;1.534329386626831;33;298;19;0.56;63.158;12;2019-08-01 08:17:34.639365
456;20;2.342335823124556;1.6430605203372548;2.349218094251684;24;0.9696969696969697;1.0;1.0748502362203909;33;298;19;0.001;63.158;12;2019-08-01 08:17:34.639365
457;21;1.1324627250692554;0.0;1.6783472907865762;21;0.0;0.0;0.0;26;298;19;0.0;94.737;18;2019-08-01 08:17:34.639365
458;22;0.0;0.0;0.0;18;0.0;0.0;0.0;33;298;19;0.0;47.368;9;2019-08-01 08:17:34.639365
459;23;0.0;0.0;0.0;17;0.0;0.0;0.0;33;298;19;0.0;47.368;9;2019-08-01 08:17:34.639365
460;0;0.0;0.0;0.0;30;0.0;0.0;0.0;18;3;16;0.0;50.0;8;2019-08-01 08:17:34.639365
461;5;9.935150896412466;10.0;1.8080901496321111;28;5.02198738633974;3.2602133226001206;4.044788678544752;33;3;16;50.0;62.5;10;2019-08-01 08:17:34.639365
462;6;11.907143343133683;12.014200194904635;3.9226336512602247;34;5.4075418565595825;3.7149302707136997;4.204354558576623;34;3;16;50.144;75.0;12;2019-08-01 08:17:34.639365
463;7;10.134877443370076;10.425442667434185;3.2767754555063098;32;6.1423685284092135;5.0;3.9743110391535774;33;3;16;55.165;62.5;10;2019-08-01 08:17:34.639365
464;8;9.260935248674718;9.091278999149763;3.65754525453538;32;7.147105658624755;7.159090909090909;3.904717349369349;33;3;16;61.729;50.0;8;2019-08-01 08:17:34.639365
465;9;8.049227285803932;8.302788844621514;3.529196552369407;32;8.272584031213782;8.0;4.626443390931869;33;3;16;53.419;50.0;8;2019-08-01 08:17:34.639365
466;10;7.801763700488181;8.0;2.915433490227351;30;9.030657087904947;9.0;3.442028964825236;33;3;16;63.42;43.75;7;2019-08-01 08:17:34.639365
467;11;10.144554658214048;9.0;4.309629872855548;33;11.905759870511936;12.0;3.734404442588267;32;3;16;75.682;37.5;6;2019-08-01 08:17:34.639365
468;12;11.816272067579598;12.0;3.288769975570214;31;15.511647527941674;16.0;3.820038408733006;30;3;16;96.595;37.5;6;2019-08-01 08:17:34.639365
469;13;13.720273194963408;13.0;3.9099449845067076;31;18.593425463438507;18.5;4.625878054559252;32;3;16;97.962;31.25;5;2019-08-01 08:17:34.639365
470;14;12.519696568483514;12.0;3.1877101883112426;32;17.415486073756767;18.0;5.090054149312144;33;3;16;97.01;37.5;6;2019-08-01 08:17:34.639365
471;15;12.25381551184129;12.0;3.9447106885131378;33;15.433873979444348;15.0;3.9978310170799713;31;3;16;93.587;37.5;6;2019-08-01 08:17:34.639365
472;16;9.624549657004023;10.0;3.117003643311498;29;13.600591167906638;13.266331658291458;4.817850744582808;33;3;16;83.209;43.75;7;2019-08-01 08:17:34.639365
473;17;9.036516040841287;8.5;4.0498105098915245;32;11.942568822716948;12.5;5.385130025524836;32;3;16;73.149;37.5;6;2019-08-01 08:17:34.639365
474;18;7.391719361262508;7.0;3.623224718002738;33;9.783314425292568;9.0;5.017609503743937;31;3;16;60.872;37.5;6;2019-08-01 08:17:34.639365
475;19;6.486919846401497;6.0;3.655035576815069;33;8.035984456632658;8.444096950742768;3.3348224681574803;29;3;16;50.0;37.5;6;2019-08-01 08:17:34.639365
476;20;4.212121212121212;4.0;3.351842550724673;33;6.659032939512024;5.1600985221674875;4.69645194275556;32;3;16;27.536;37.5;6;2019-08-01 08:17:34.639365
477;21;1.7666666666666666;2.0;1.5905612397739564;30;2.0690823891376686;2.0;1.4627645197687666;25;3;16;0.008;50.0;8;2019-08-01 08:17:34.639365
478;22;0.0;0.0;0.0;25;0.3544363113416388;0.0;0.7187112115861292;21;3;16;50.0;0.0;0;2019-08-01 08:17:34.639365
479;23;0.0;0.0;0.0;28;0.0;0.0;0.0;18;3;16;0.0;50.0;8;2019-08-01 08:17:34.639365
480;0;0.0;0.0;0.0;28;0.0;0.0;0.0;30;301;16;0.0;50.0;8;2019-08-01 08:17:34.639365
481;5;3.6534382576424536;3.0;1.9911248349519013;34;8.771664547942276;9.0;4.576215359884844;32;301;16;30.775;25.0;4;2019-08-01 08:17:34.639365
482;6;4.623011162337005;4.0;2.5844586619490335;33;8.264312528354003;8.007421150278294;4.271409149562587;30;301;16;34.94;31.25;5;2019-08-01 08:17:34.639365
483;7;6.250496408037984;7.0;2.6466904371479645;31;6.723137660798446;7.0;3.526904124038795;28;301;16;50.0;43.75;7;2019-08-01 08:17:34.639365
484;8;8.244716209098971;8.0;3.640955673998581;32;8.050810420477298;7.062475260588468;4.582436506750932;32;301;16;50.0;50.0;8;2019-08-01 08:17:34.639365
485;9;8.489595560107379;8.0;3.7584293773266153;32;8.993078743648919;9.0;4.875342501648973;33;301;16;60.491;43.75;7;2019-08-01 08:17:34.639365
486;10;9.636363636363637;10.0;4.277982744663232;33;9.539777968845021;9.0;4.155043001546959;31;301;16;67.993;50.0;8;2019-08-01 08:17:34.639365
487;11;13.124072558286906;13.0;5.595104932214341;33;11.650973121581076;11.0;4.712168254393136;31;301;16;81.424;50.0;8;2019-08-01 08:17:34.639365
