,hour,nanmean_demand_bikes,nanmedian_demand_bikes,nanstd_demand_bikes,count_demand_bikes,nanmean_demand_locks,nanmedian_demand_locks,nanstd_demand_locks,count_demand_locks,station_id,capacity,probability_pst,fill_deg_pst,opt_no_bikes,valid_date
55,19,0.0,0.0,0.0,4,0.0,0.0,0.0,5,1019,10,0.0,50.0,5,2019-08-01 11:31:31.868114
56,20,0.0,0.0,0.0,4,0.0,0.0,0.0,5,1019,10,0.0,50.0,5,2019-08-01 11:31:31.868114
57,21,0.4,0.0,0.5477225575051661,5,0.0,0.0,0.0,5,1019,10,0.0,90.0,9,2019-08-01 11:31:31.868114
58,22,0.4,0.0,0.5477225575051661,5,0.0,0.0,0.0,5,1019,10,0.0,90.0,9,2019-08-01 11:31:31.868114
59,23,0.4,0.0,0.5477225575051661,5,0.0,0.0,0.0,5,1019,10,0.0,90.0,9,2019-08-01 11:31:31.868114
60,0,0.0,0.0,0.0,2,0.5,0.5,0.7071067811865476,2,1024,19,50.0,0.0,0,2019-08-01 11:31:31.868114
61,5,0.5,0.5,0.7071067811865476,2,1.0,1.0,0.0,2,1024,19,0.0,89.474,17,2019-08-01 11:31:31.868114
62,6,1.5,1.5,2.1213203435596424,2,1.5,1.5,0.7071067811865476,2,1024,19,0.0,68.421,13,2019-08-01 11:31:31.868114
63,7,2.0,2.0,2.8284271247461903,2,1.5,1.5,0.7071067811865476,2,1024,19,0.001,73.684,14,2019-08-01 11:31:31.868114
64,8,3.0,3.0,0.0,2,0.5,0.5,0.7071067811865476,2,1024,19,50.0,15.789,3,2019-08-01 11:31:31.868114
65,9,2.5,2.5,0.7071067811865476,2,0.0,0.0,0.0,2,1024,19,0.0,94.737,18,2019-08-01 11:31:31.868114
66,10,1.5,1.5,0.7071067811865476,2,1.0,1.0,1.4142135623730951,2,1024,19,0.0,36.842,7,2019-08-01 11:31:31.868114
67,11,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1024,19,0.0,47.368,9,2019-08-01 11:31:31.868114
68,12,1.0,1.0,1.4142135623730951,2,0.5,0.5,0.7071067811865476,2,1024,19,0.0,63.158,12,2019-08-01 11:31:31.868114
69,13,0.5,0.5,0.7071067811865476,2,2.0,2.0,1.4142135623730951,2,1024,19,0.0,31.579,6,2019-08-01 11:31:31.868114
70,14,1.0,1.0,0.0,2,2.0,2.0,1.4142135623730951,2,1024,19,50.0,5.263,1,2019-08-01 11:31:31.868114
71,15,1.5,1.5,0.7071067811865476,2,2.5,2.5,2.1213203435596424,2,1024,19,0.0,26.316,5,2019-08-01 11:31:31.868114
72,16,2.5,2.5,2.1213203435596424,2,1.0,1.0,0.0,2,1024,19,0.0,89.474,17,2019-08-01 11:31:31.868114
73,17,2.5,2.5,0.7071067811865476,2,0.5,0.5,0.7071067811865476,2,1024,19,0.0,52.632,10,2019-08-01 11:31:31.868114
74,18,2.0,2.0,1.4142135623730951,2,0.5,0.5,0.7071067811865476,2,1024,19,0.0,68.421,13,2019-08-01 11:31:31.868114
75,19,1.0,1.0,0.0,2,0.5,0.5,0.7071067811865476,2,1024,19,50.0,5.263,1,2019-08-01 11:31:31.868114
76,20,2.0,2.0,2.8284271247461903,2,1.0,1.0,0.0,2,1024,19,0.0,89.474,17,2019-08-01 11:31:31.868114
77,21,1.5,1.5,2.1213203435596424,2,1.0,1.0,0.0,2,1024,19,0.0,89.474,17,2019-08-01 11:31:31.868114
78,22,1.5,1.5,2.1213203435596424,2,1.0,1.0,0.0,2,1024,19,0.0,89.474,17,2019-08-01 11:31:31.868114
79,23,0.0,0.0,0.0,2,0.5,0.5,0.7071067811865476,2,1024,19,50.0,0.0,0,2019-08-01 11:31:31.868114
80,0,0.0,0.0,0.0,2,2.105263157894737,2.105263157894737,2.977291710259148,2,1025,10,50.0,0.0,0,2019-08-01 11:31:31.868114
81,5,3.5,3.5,2.1213203435596424,2,0.0,0.0,0.0,2,1025,10,0.476,90.0,9,2019-08-01 11:31:31.868114
82,6,3.5,3.5,0.7071067811865476,2,0.0,0.0,0.0,2,1025,10,0.0,90.0,9,2019-08-01 11:31:31.868114
83,7,5.130597751035707,5.130597751035707,1.229520451642973,2,0.0,0.0,0.0,2,1025,10,0.082,90.0,9,2019-08-01 11:31:31.868114
84,8,2.190344979609831,2.190344979609831,0.2691884516938535,2,1.0,1.0,0.0,2,1025,10,0.0,80.0,8,2019-08-01 11:31:31.868114
85,9,1.5951724898049155,1.5951724898049155,0.5725125553396208,2,2.0,2.0,1.4142135623730951,2,1025,10,0.707,30.0,3,2019-08-01 11:31:31.868114
86,10,0.0,0.0,0.0,1,3.0,3.0,0.0,1,1025,10,0.0,30.0,3,2019-08-01 11:31:31.868114
87,11,1.0137989298789074,1.0137989298789074,0.0,1,2.0,2.0,0.0,1,1025,10,0.0,40.0,4,2019-08-01 11:31:31.868114
88,12,2.1008948255738558,2.1008948255738558,2.971113955446005,2,1.5,1.5,0.7071067811865476,2,1025,10,4.958,70.0,7,2019-08-01 11:31:31.868114
89,13,5.371447902571042,5.371447902571042,6.182160911023388,2,2.0,2.0,1.4142135623730951,2,1025,10,39.611,70.0,7,2019-08-01 11:31:31.868114
90,14,11.079328044797014,11.079328044797014,12.840108858186333,2,4.0,4.0,1.4142135623730951,2,1025,10,65.379,60.0,6,2019-08-01 11:31:31.868114
91,15,4.845240920958936,4.845240920958936,4.023778298639043,2,4.5,4.5,0.7071067811865476,2,1025,10,48.466,50.0,5,2019-08-01 11:31:31.868114
92,16,2.414167866963467,2.414167866963467,0.5857218145588715,2,5.5,5.5,0.7071067811865476,2,1025,10,15.861,30.0,3,2019-08-01 11:31:31.868114
93,17,1.5439161966156325,1.5439161966156325,0.6449999003248766,2,3.7059814658803707,3.7059814658803707,0.41580499854103636,2,1025,10,0.007,40.0,4,2019-08-01 11:31:31.868114
94,18,1.0,1.0,1.4142135623730951,2,2.13732097725358,2.13732097725358,0.19420118843034054,2,1025,10,0.001,70.0,7,2019-08-01 11:31:31.868114
95,19,1.0,1.0,0.0,2,1.1373209772535804,1.1373209772535804,1.6084147508034357,2,1025,10,50.0,10.0,1,2019-08-01 11:31:31.868114
96,20,0.5,0.5,0.7071067811865476,2,1.0,1.0,0.0,2,1025,10,0.0,80.0,8,2019-08-01 11:31:31.868114
97,21,0.5,0.5,0.7071067811865476,2,2.5,2.5,2.1213203435596424,2,1025,10,1.695,20.0,2,2019-08-01 11:31:31.868114
98,22,0.0,0.0,0.0,2,2.5,2.5,3.5355339059327378,2,1025,10,50.0,0.0,0,2019-08-01 11:31:31.868114
99,23,0.0,0.0,0.0,2,3.0927835051546393,3.0927835051546393,4.37385637847349,2,1025,10,50.0,0.0,0,2019-08-01 11:31:31.868114
100,0,0.0,0.0,0.0,1,1.0,1.0,0.0,1,1026,13,0.0,46.154,6,2019-08-01 11:31:31.868114
101,5,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
102,6,0.0,0.0,0.0,1,3.812661802777124,3.812661802777124,0.0,1,1026,13,0.0,30.769,4,2019-08-01 11:31:31.868114
103,7,0.0,0.0,0.0,1,6.614944875459371,6.614944875459371,0.0,1,1026,13,0.0,23.077,3,2019-08-01 11:31:31.868114
104,8,1.0,1.0,0.0,1,3.847524047025294,3.847524047025294,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
105,9,0.5,0.5,0.7071067811865476,2,1.0,1.0,1.4142135623730951,2,1026,13,0.0,30.769,4,2019-08-01 11:31:31.868114
106,10,0.0,0.0,0.0,1,3.0,3.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
107,11,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
108,12,2.0,2.0,0.0,1,3.0,3.0,0.0,1,1026,13,0.0,46.154,6,2019-08-01 11:31:31.868114
109,13,2.0,2.0,0.0,1,1.0,1.0,0.0,1,1026,13,0.0,53.846,7,2019-08-01 11:31:31.868114
110,14,3.0,3.0,0.0,1,5.0,5.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
111,15,4.0,4.0,0.0,1,7.0,7.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
112,16,4.0,4.0,0.0,1,8.0,8.0,0.0,1,1026,13,50.0,30.769,4,2019-08-01 11:31:31.868114
113,17,3.0,3.0,0.0,1,5.0,5.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
114,18,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
115,19,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
116,20,0.0,0.0,0.0,1,1.0,1.0,0.0,1,1026,13,0.0,46.154,6,2019-08-01 11:31:31.868114
117,21,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
118,22,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
119,23,0.0,0.0,0.0,1,2.0,2.0,0.0,1,1026,13,0.0,38.462,5,2019-08-01 11:31:31.868114
120,0,0.41935483870967744,0.0,0.6204403569716752,31,0.0,0.0,0.0,31,183,22,0.0,95.455,21,2019-08-01 11:31:31.868114
121,5,1.190552266490497,1.0,1.175661990624818,32,1.0294117647058822,1.0,0.8698761359978842,34,183,22,0.0,54.545,12,2019-08-01 11:31:31.868114
